GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
safetynet,com.openclassrooms.safetynet.util,DateUtils,3,13,0,0,1,3,1,2,1,2
safetynet,com.openclassrooms.safetynet.model,Person,0,27,0,0,0,10,0,2,0,2
safetynet,com.openclassrooms.safetynet.model,Medicalrecord,0,21,0,0,0,9,0,2,0,2
safetynet,com.openclassrooms.safetynet.model,Firestation,0,12,0,0,0,5,0,2,0,2
safetynet,com.openclassrooms.safetynet.repository,RootRepository,82,298,4,16,25,84,4,25,0,19
safetynet,com.openclassrooms.safetynet.dto,FloodPersonDto,0,21,0,0,0,8,0,1,0,1
safetynet,com.openclassrooms.safetynet.dto,StationDto,0,9,0,0,0,4,0,1,0,1
safetynet,com.openclassrooms.safetynet.dto,CommunityEmailResponse,6,0,0,0,3,0,1,0,1,0
safetynet,com.openclassrooms.safetynet.dto,FloodResponse,0,6,0,0,0,3,0,1,0,1
safetynet,com.openclassrooms.safetynet.dto,HouseholdMemberDto,0,9,0,0,0,4,0,1,0,1
safetynet,com.openclassrooms.safetynet.dto,FireResponse,0,6,0,0,0,3,0,1,0,1
safetynet,com.openclassrooms.safetynet.dto,ChildAlertResponse,0,9,0,0,0,4,0,1,0,1
safetynet,com.openclassrooms.safetynet.dto,PersonInfoLastNameDto,0,24,0,0,0,9,0,1,0,1
safetynet,com.openclassrooms.safetynet.dto,HouseholdDto,0,6,0,0,0,3,0,1,0,1
safetynet,com.openclassrooms.safetynet.dto,ChildDto,0,12,0,0,0,5,0,1,0,1
safetynet,com.openclassrooms.safetynet.dto,PersonInfoLastNameReponse,0,6,0,0,0,3,0,1,0,1
safetynet,com.openclassrooms.safetynet.dto,FirePersonDto,0,24,0,0,0,9,0,1,0,1
safetynet,com.openclassrooms.safetynet,SafetynetApplication,5,3,0,0,2,1,1,1,1,1
safetynet,com.openclassrooms.safetynet.service,FirestationService,19,89,3,5,6,21,3,11,0,10
safetynet,com.openclassrooms.safetynet.service,FireService,0,113,2,6,0,25,2,7,0,5
safetynet,com.openclassrooms.safetynet.service,CommunityEmailService,17,3,0,0,3,1,2,1,2,1
safetynet,com.openclassrooms.safetynet.service,PersonInfoLastNameService,6,77,0,0,2,19,0,6,0,6
safetynet,com.openclassrooms.safetynet.service,MedicalRecordService,1,123,4,8,0,22,4,14,0,12
safetynet,com.openclassrooms.safetynet.service,PersonService,13,111,0,6,4,32,0,16,0,13
safetynet,com.openclassrooms.safetynet.service,PhoneAlertService,12,53,1,1,3,14,1,6,0,6
safetynet,com.openclassrooms.safetynet.service,FloodService,5,104,0,2,2,22,0,6,0,5
safetynet,com.openclassrooms.safetynet.service,ChildAlertService,0,114,1,5,0,24,1,9,0,7
safetynet,com.openclassrooms.safetynet.controller,PersonInfoLastNameController,9,7,0,0,2,2,1,2,1,2
safetynet,com.openclassrooms.safetynet.controller,PersonController,26,52,0,0,9,16,1,5,1,5
safetynet,com.openclassrooms.safetynet.controller,FirestationController,37,7,0,0,11,2,4,2,4,2
safetynet,com.openclassrooms.safetynet.controller,MedicalRecordController,18,3,0,0,6,1,3,1,3,1
safetynet,com.openclassrooms.safetynet.controller,FloodController,5,3,0,0,1,1,1,1,1,1
safetynet,com.openclassrooms.safetynet.controller,PhoneAlertController,10,7,0,0,2,2,1,2,1,2
safetynet,com.openclassrooms.safetynet.controller,FireController,9,7,0,0,2,2,1,2,1,2
safetynet,com.openclassrooms.safetynet.controller,ChildAlertController,9,7,0,0,2,2,1,2,1,2
safetynet,com.openclassrooms.safetynet.controller,CommunityEmailController,12,7,0,0,2,2,1,2,1,2
